ncv_id	ncv_location	ncv_sample_id	target_gene_name	target_gene_id	target_promoter_location	chiapet_factor	chiapet_petcount
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	UPF2_ENST00000379172	103257	chr10:12076921..12077922,-	POLR2A-human	4
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	DHTKD1	60364	chr10:12110532..12111533,+	POLR2A-human	9
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	SEC61A2	60365	chr10:12171286..12172287,+	POLR2A-human	4
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	SEC61A2_ENST00000304267	96934	chr10:12171286..12172287,+	POLR2A-human	4
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	SEC61A2_ENST00000379017	106621	chr10:12171286..12172287,+	POLR2A-human	4
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	CDC123	60367	chr10:12237744..12238745,+	POLR2A-human	2
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	GRK5	195	chr10:120966929..120967930,+	POLR2A-human	3
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	GRK5_ENST00000369106	102720	chr10:120966929..120967930,+	POLR2A-human	3
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	RGS10_ENST00000392865	107276	chr10:121295481..121296482,-	POLR2A-human	2
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	RGS10	4156	chr10:121301649..121302650,-	POLR2A-human	33
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	BAG3	1397	chr10:121410687..121411688,+	POLR2A-human	17
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	INPP5F	1186	chr10:121485274..121486275,+	POLR2A-human	2
HS_chr10_121356798_121356847	chr10:121356298..121357347,.	TCGA-A2-A04P	INPP5F_ENST00000369083	101357	chr10:121485274..121486275,+	POLR2A-human	2
HS_chr10_12307876_12307980	chr10:12307376..12308480,.	TCGA-A8-A07I	CAMK1D	116	chr10:12391317..12392318,+	POLR2A-human	2
HS_chr10_12307876_12307980	chr10:12307376..12308480,.	TCGA-A8-A07I	CAMK1D_ENST00000378847	93177	chr10:12391317..12392318,+	POLR2A-human	2
HS_chr10_123673102_123673165	chr10:123672602..123673665,.	TCGA-C8-A12Q	ATE1	67207	chr10:123686963..123687964,-	POLR2A-human	2
HS_chr10_123673102_123673165	chr10:123672602..123673665,.	TCGA-C8-A12Q	ATE1_ENST00000224652	94522	chr10:123686963..123687964,-	POLR2A-human	2
HS_chr10_127585584_127585669	chr10:127585084..127586169,.	TCGA-A8-A07I	BCCIP	60811	chr10:127511626..127512627,+	POLR2A-human	5
HS_chr10_127585584_127585669	chr10:127585084..127586169,.	TCGA-A8-A07I	BCCIP_ENST00000278100	96270	chr10:127511626..127512627,+	POLR2A-human	5
HS_chr10_127585584_127585669	chr10:127585084..127586169,.	TCGA-A8-A07I	BCCIP_ENST00000368759	103084	chr10:127511626..127512627,+	POLR2A-human	5
HS_chr10_127585584_127585669	chr10:127585084..127586169,.	TCGA-A8-A07I	DHX32	3613	chr10:127568892..127569893,-	POLR2A-human	4
HS_chr10_128074781_128074862	chr10:128074281..128075362,.	TCGA-AN-A0AT	FANK1	67214	chr10:127584711..127585712,+	POLR2A-human	2
HS_chr10_13336778_13336788	chr10:13336278..13337288,.	TCGA-B6-A0IJ	PHYH	60372	chr10:13341541..13342542,-	POLR2A-human	8
HS_chr10_133946688_133946736	chr10:133946188..133947236,.	TCGA-AO-A0JM	BNIP3	1401	chr10:133794809..133795810,-	POLR2A-human	2
HS_chr10_134065192_134065194	chr10:134064692..134065694,.	TCGA-C8-A12L	PWWP2B	74415	chr10:134210230..134211231,+	POLR2A-human	2
HS_chr10_134065192_134065194	chr10:134064692..134065694,.	TCGA-C8-A12L	PWWP2B_ENST00000368609	103266	chr10:134210230..134211231,+	POLR2A-human	2
HS_chr10_135161039_135161066	chr10:135160539..135161566,.	TCGA-B6-A0IJ	ECHS1	60834	chr10:135186336..135187337,-	POLR2A-human	3
HS_chr10_135197857_135197930	chr10:135197357..135198430,.	TCGA-BH-A18U	PAOX	60835	chr10:135192320..135193321,+	POLR2A-human	5
HS_chr10_135197857_135197930	chr10:135197357..135198430,.	TCGA-BH-A18U	PAOX_ENST00000357296	90286	chr10:135192320..135193321,+	POLR2A-human	5
HS_chr10_135197857_135197930	chr10:135197357..135198430,.	TCGA-BH-A18U	MTG1	67221	chr10:135207224..135208225,+	POLR2A-human	15
HS_chr10_13557042_13557138	chr10:13556542..13557638,.	TCGA-AR-A0TX	BEND7	60374	chr10:13541568..13542569,-	POLR2A-human	2
HS_chr10_13557042_13557138	chr10:13556542..13557638,.	TCGA-AR-A0TX	BEND7_ENST00000378605	92453	chr10:13541568..13542569,-	POLR2A-human	2
HS_chr10_14964465_14964526	chr10:14963965..14965026,.	TCGA-AO-A0J6	SUV39H2_ENST00000354919	96269	chr10:14920387..14921388,+	POLR2A-human	2
HS_chr10_17328928_17328967	chr10:17328428..17329467,.	TCGA-A8-A07B	ST8SIA6	67132	chr10:17495753..17496754,-	POLR2A-human	2
HS_chr10_17645977_17646041	chr10:17645477..17646541,.	TCGA-A8-A09I	PTPLA	2821	chr10:17658837..17659838,-	POLR2A-human	2
HS_chr10_180371_180396	chr10:179871..180896,.	TCGA-A2-A04P	AL589988.1	95052	chr10:225452..226453,+	POLR2A-human	5
HS_chr10_180371_180396	chr10:179871..180896,.	TCGA-A2-A04P	ZMYND11_ENST00000397962	95053	chr10:225452..226453,+	POLR2A-human	5
HS_chr10_180371_180396	chr10:179871..180896,.	TCGA-A2-A04P	DIP2C_ENST00000540204	102698	chr10:415026..416027,-	POLR2A-human	2
HS_chr10_26974135_26974275	chr10:26973635..26974775,.	TCGA-A2-A0D0	PDSS1	67140	chr10:26986140..26987141,+	POLR2A-human	8
HS_chr10_26980342_26980387	chr10:26979842..26980887,.	TCGA-AN-A0AT	PDSS1	67140	chr10:26986140..26987141,+	POLR2A-human	5
HS_chr10_28832638_28832709	chr10:28832138..28833209,.	TCGA-A8-A09I	WAC	60422	chr10:28822008..28823009,+	POLR2A-human	22
HS_chr10_28832638_28832709	chr10:28832138..28833209,.	TCGA-A8-A09I	WAC_ENST00000428935	101686	chr10:28824047..28825048,+	POLR2A-human	22
HS_chr10_3089859_3089931	chr10:3089359..3090431,.	TCGA-A8-A09I	PFKP	4031	chr10:3109287..3110288,+	POLR2A-human	17
HS_chr10_3089859_3089931	chr10:3089359..3090431,.	TCGA-A8-A09I	PFKP_ENST00000381075	94266	chr10:3111073..3112074,+	POLR2A-human	15
HS_chr10_3089859_3089931	chr10:3089359..3090431,.	TCGA-A8-A09I	PITRM1	81395	chr10:3214463..3215464,-	POLR2A-human	2
HS_chr10_3089859_3089931	chr10:3089359..3090431,.	TCGA-A8-A09I	PITRM1_ENST00000224949	103131	chr10:3214463..3215464,-	POLR2A-human	2
HS_chr10_3089859_3089931	chr10:3089359..3090431,.	TCGA-A8-A09I	PITRM1_ENST00000451104	101473	chr10:3214470..3215471,-	POLR2A-human	2
HS_chr10_3106344_3106392	chr10:3105844..3106892,.	TCGA-A8-A08B	PFKP_ENST00000381075	94266	chr10:3111073..3112074,+	POLR2A-human	8
HS_chr10_32477540_32477638	chr10:32477040..32478138,.	TCGA-B6-A0X5	KIF5B	60431	chr10:32344400..32345401,-	POLR2A-human	5
HS_chr10_32477540_32477638	chr10:32477040..32478138,.	TCGA-B6-A0X5	KIF5B_ENST00000302418	102835	chr10:32344400..32345401,-	POLR2A-human	5
HS_chr10_3242575_3242651	chr10:3242075..3243151,.	TCGA-C8-A12L	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_3242575_3242651	chr10:3242075..3243151,.	TCGA-C8-A12L	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_3436629_3436692	chr10:3436129..3437192,.	TCGA-AO-A03L	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_3436629_3436692	chr10:3436129..3437192,.	TCGA-AO-A03L	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_3579440_3579468	chr10:3578940..3579968,.	TCGA-B6-A0I6	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	8
HS_chr10_3579440_3579468	chr10:3578940..3579968,.	TCGA-B6-A0I6	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	8
HS_chr10_36042176_36042218	chr10:36041676..36042718,.	TCGA-A8-A07B	FZD8	5117	chr10:35929856..35930857,-	POLR2A-human	2
HS_chr10_37018052_37018054	chr10:37017552..37018554,.	TCGA-A8-A08B	FZD8	5117	chr10:35929856..35930857,-	POLR2A-human	2
HS_chr10_3737736_3737821	chr10:3737236..3738321,.	TCGA-E2-A152	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	8
HS_chr10_3737736_3737821	chr10:3737236..3738321,.	TCGA-E2-A152	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	8
HS_chr10_38384981_38385053	chr10:38384481..38385553,.	TCGA-BH-A0WA	ZNF248	60442	chr10:38144737..38145738,-	POLR2A-human	2
HS_chr10_3842091_3842175	chr10:3841591..3842675,.	TCGA-A2-A0D0	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	3
HS_chr10_4025249_4025332	chr10:4024749..4025832,.	TCGA-A8-A092	KLF6	6228	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_3842091_3842175	chr10:3841591..3842675,.	TCGA-A2-A0D0	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	3
HS_chr10_4025249_4025332	chr10:4024749..4025832,.	TCGA-A8-A092	KLF6_ENST00000469435	101333	chr10:3826705..3827706,-	POLR2A-human	2
HS_chr10_38384981_38385053	chr10:38384481..38385553,.	TCGA-BH-A0WA	ZNF33A_ENST00000432900	106352	chr10:38299181..38300182,+	POLR2A-human	8
HS_chr10_38384981_38385053	chr10:38384481..38385553,.	TCGA-BH-A0WA	ZNF33A	67144	chr10:38300769..38301770,+	POLR2A-human	8
HS_chr10_43104270_43104366	chr10:43103770..43104866,.	TCGA-A8-A08L	ZNF33B	60444	chr10:43131875..43132876,-	POLR2A-human	4
HS_chr10_43520405_43520453	chr10:43519905..43520953,.	TCGA-GM-A2DF	RET	17	chr10:43572206..43573207,+	POLR2A-human	64
HS_chr10_43520405_43520453	chr10:43519905..43520953,.	TCGA-GM-A2DF	RET_ENST00000340058	99871	chr10:43572206..43573207,+	POLR2A-human	64
HS_chr10_43888156_43888235	chr10:43887656..43888735,.	TCGA-B6-A0IQ	FXYD4	60448	chr10:43868694..43869695,+	POLR2A-human	15
HS_chr10_46979737_46979764	chr10:46979237..46980264,.	TCGA-BH-A18U	SYT15_ENST00000374321	93611	chr10:46969947..46970948,-	POLR2A-human	2
HS_chr10_46979737_46979764	chr10:46979237..46980264,.	TCGA-BH-A18U	SYT15_ENST00000416127	91777	chr10:46969947..46970948,-	POLR2A-human	2
HS_chr10_46979737_46979764	chr10:46979237..46980264,.	TCGA-BH-A18U	SYT15	86520	chr10:46970103..46971104,-	POLR2A-human	2
HS_chr10_46979737_46979764	chr10:46979237..46980264,.	TCGA-BH-A18U	SYT15_ENST00000374323	106894	chr10:46970311..46971312,-	POLR2A-human	2
HS_chr10_52418037_52418082	chr10:52417537..52418582,.	TCGA-BH-A18U	SGMS1_ENST00000429490	106277	chr10:52384294..52385295,-	POLR2A-human	6
HS_chr10_54249111_54249176	chr10:54248611..54249676,.	TCGA-C8-A12L	DKK1	5052	chr10:54073694..54074695,+	POLR2A-human	57
HS_chr10_558433_558509	chr10:557933..559009,.	TCGA-B6-A0IJ	DIP2C	60333	chr10:735017..736018,-	POLR2A-human	3
HS_chr10_558433_558509	chr10:557933..559009,.	TCGA-B6-A0IJ	DIP2C_ENST00000423550	102700	chr10:735017..736018,-	POLR2A-human	3
HS_chr10_59940109_59940154	chr10:59939609..59940654,.	TCGA-AO-A0J2	IPMK	1187	chr10:60026870..60027871,-	POLR2A-human	6
HS_chr10_59940109_59940154	chr10:59939609..59940654,.	TCGA-AO-A0J2	CISD1	60487	chr10:60028533..60029534,+	POLR2A-human	6
HS_chr10_6066134_6066180	chr10:6065634..6066680,.	TCGA-B6-A0I6	IL15RA	60352	chr10:6018954..6019955,-	POLR2A-human	2
HS_chr10_6066134_6066180	chr10:6065634..6066680,.	TCGA-B6-A0I6	IL15RA_ENST00000397255	103264	chr10:6018954..6019955,-	POLR2A-human	2
HS_chr10_6066134_6066180	chr10:6065634..6066680,.	TCGA-B6-A0I6	RBM17	60354	chr10:6138528..6139529,+	POLR2A-human	2
HS_chr10_61723340_61723420	chr10:61722840..61723920,.	TCGA-A2-A0EY	CCDC6	5918	chr10:61665681..61666682,-	POLR2A-human	34
HS_chr10_6323458_6323526	chr10:6322958..6324026,.	TCGA-A8-A075	PFKFB3	60355	chr10:6244723..6245724,+	POLR2A-human	12
HS_chr10_6336500_6336568	chr10:6336000..6337068,.	TCGA-A2-A0YG	PFKFB3	60355	chr10:6244723..6245724,+	POLR2A-human	22
HS_chr10_6323458_6323526	chr10:6322958..6324026,.	TCGA-A8-A075	PFKFB3_ENST00000379785	93434	chr10:6244723..6245724,+	POLR2A-human	12
HS_chr10_6336500_6336568	chr10:6336000..6337068,.	TCGA-A2-A0YG	PFKFB3_ENST00000379785	93434	chr10:6244723..6245724,+	POLR2A-human	22
HS_chr10_63171164_63171293	chr10:63170664..63171793,.	TCGA-B6-A0IJ	TMEM26	74702	chr10:63212338..63213339,-	POLR2A-human	2
HS_chr10_63171164_63171293	chr10:63170664..63171793,.	TCGA-B6-A0IJ	TMEM26_ENST00000399293	103376	chr10:63212338..63213339,-	POLR2A-human	2
HS_chr10_71121591_71121653	chr10:71121091..71122153,.	TCGA-C8-A12L	HK1_ENST00000298649	95171	chr10:71075210..71076211,+	POLR2A-human	11
HS_chr10_71090547_71090585	chr10:71090047..71091085,.	TCGA-B6-A0IQ	HK1_ENST00000359426	99902	chr10:71078203..71079204,+	POLR2A-human	15
HS_chr10_71121591_71121653	chr10:71121091..71122153,.	TCGA-C8-A12L	HK1_ENST00000359426	99902	chr10:71078203..71079204,+	POLR2A-human	14
HS_chr10_71324100_71324127	chr10:71323600..71324627,.	TCGA-AO-A03N	NEUROG3	67159	chr10:71332298..71333299,-	POLR2A-human	2
HS_chr10_72003929_72003999	chr10:72003429..72004499,.	TCGA-A8-A075	PPA1	60528	chr10:71992582..71993583,-	POLR2A-human	6
HS_chr10_815894_815957	chr10:815394..816457,.	TCGA-GM-A2DF	DIP2C	60333	chr10:735017..736018,-	POLR2A-human	2
HS_chr10_827797_827882	chr10:827297..828382,.	TCGA-AN-A0AT	DIP2C	60333	chr10:735017..736018,-	POLR2A-human	14
HS_chr10_815894_815957	chr10:815394..816457,.	TCGA-GM-A2DF	DIP2C_ENST00000423550	102700	chr10:735017..736018,-	POLR2A-human	2
HS_chr10_827797_827882	chr10:827297..828382,.	TCGA-AN-A0AT	DIP2C_ENST00000423550	102700	chr10:735017..736018,-	POLR2A-human	14
HS_chr10_74045712_74045739	chr10:74045212..74046239,.	TCGA-B6-A0IQ	DDIT4	3571	chr10:74033474..74034475,+	POLR2A-human	10
HS_chr10_74060146_74060225	chr10:74059646..74060725,.	TCGA-A8-A092	DDIT4	3571	chr10:74033474..74034475,+	POLR2A-human	46
HS_chr10_74060146_74060225	chr10:74059646..74060725,.	TCGA-A8-A092	DNAJB12	3633	chr10:74114154..74115155,-	POLR2A-human	2
HS_chr10_74060146_74060225	chr10:74059646..74060725,.	TCGA-A8-A092	DNAJB12_ENST00000338820	99805	chr10:74114256..74115257,-	POLR2A-human	2
HS_chr10_74444893_74444934	chr10:74444393..74445434,.	TCGA-A8-A094	DNAJB12	3633	chr10:74114154..74115155,-	POLR2A-human	4
HS_chr10_74444893_74444934	chr10:74444393..74445434,.	TCGA-A8-A094	DNAJB12_ENST00000338820	99805	chr10:74114256..74115257,-	POLR2A-human	4
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	DNAJC9-AS1	99545	chr10:75006445..75007446,+	POLR2A-human	4
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	DNAJC9	3658	chr10:75006446..75007447,-	POLR2A-human	4
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	MRPS16	60549	chr10:75011739..75012740,-	POLR2A-human	6
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	MRPS16_ENST00000416782	107102	chr10:75011739..75012740,-	POLR2A-human	6
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	USP54	5471	chr10:75276946..75277947,-	POLR2A-human	2
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	SYNPO2L	60554	chr10:75410264..75411265,-	POLR2A-human	2
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	FUT11	60556	chr10:75531591..75532592,+	POLR2A-human	2
HS_chr10_75256504_75256536	chr10:75256004..75257036,.	TCGA-A8-A075	FUT11_ENST00000394790	101267	chr10:75531591..75532592,+	POLR2A-human	2
HS_chr10_75640790_75640870	chr10:75640290..75641370,.	TCGA-A2-A0EY	CAMK2G	87	chr10:75633718..75634719,-	POLR2A-human	4
HS_chr10_75640790_75640870	chr10:75640290..75641370,.	TCGA-A2-A0EY	CAMK2G_ENST00000322635	106747	chr10:75633718..75634719,-	POLR2A-human	4
HS_chr10_75640790_75640870	chr10:75640290..75641370,.	TCGA-A2-A0EY	CAMK2G_ENST00000322680	93676	chr10:75633718..75634719,-	POLR2A-human	4
HS_chr10_7567633_7567739	chr10:7567133..7568239,.	TCGA-AO-A0JM	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	7
HS_chr10_7567633_7567739	chr10:7567133..7568239,.	TCGA-AO-A0JM	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	7
HS_chr10_8504509_8504655	chr10:8504009..8505155,.	TCGA-A8-A09I	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	2
HS_chr10_8766119_8766169	chr10:8765619..8766669,.	TCGA-B6-A0RE	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	87
HS_chr10_8902120_8902211	chr10:8901620..8902711,.	TCGA-AR-A0TX	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	76
HS_chr10_8913424_8913469	chr10:8912924..8913969,.	TCGA-AO-A0J6	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	160
HS_chr10_8989872_8989875	chr10:8989372..8990375,.	TCGA-AO-A03N	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	2
HS_chr10_9226124_9226184	chr10:9225624..9226684,.	TCGA-A7-A0CE	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	423
HS_chr10_9256989_9257051	chr10:9256489..9257551,.	TCGA-A8-A08L	FLJ45983	60359	chr10:8092703..8093704,-	POLR2A-human	423
HS_chr10_8207343_8207372	chr10:8206843..8207872,.	TCGA-AR-A0TX	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	2
HS_chr10_8504509_8504655	chr10:8504009..8505155,.	TCGA-A8-A09I	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	3
HS_chr10_8649995_8650033	chr10:8649495..8650533,.	TCGA-AN-A0AT	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	2
HS_chr10_8754476_8754567	chr10:8753976..8755067,.	TCGA-AN-A0AT	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	2
HS_chr10_8766119_8766169	chr10:8765619..8766669,.	TCGA-B6-A0RE	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	87
HS_chr10_8826843_8826910	chr10:8826343..8827410,.	TCGA-A2-A04P	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	2
HS_chr10_8881550_8881581	chr10:8881050..8882081,.	TCGA-A2-A0EY	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	2
HS_chr10_8902120_8902211	chr10:8901620..8902711,.	TCGA-AR-A0TX	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	76
HS_chr10_8913424_8913469	chr10:8912924..8913969,.	TCGA-AO-A0J6	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	160
HS_chr10_9131562_9131617	chr10:9131062..9132117,.	TCGA-A2-A0EY	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	3
HS_chr10_9226124_9226184	chr10:9225624..9226684,.	TCGA-A7-A0CE	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	423
HS_chr10_9256989_9257051	chr10:9256489..9257551,.	TCGA-A8-A08L	GATA3	3761	chr10:8097118..8098119,+	POLR2A-human	423
HS_chr10_81967182_81967262	chr10:81966682..81967762,.	TCGA-A2-A0EY	ANXA11_ENST00000447489	103428	chr10:81921267..81922268,-	POLR2A-human	13
HS_chr10_81967182_81967262	chr10:81966682..81967762,.	TCGA-A2-A0EY	ANXA11	60581	chr10:81932116..81933117,-	POLR2A-human	21
HS_chr10_82263554_82263589	chr10:82263054..82264089,.	TCGA-AO-A0J4	TSPAN14	60586	chr10:82248489..82249490,+	POLR2A-human	3
HS_chr10_82263554_82263589	chr10:82263054..82264089,.	TCGA-AO-A0J4	TSPAN14_ENST00000372160	103386	chr10:82248489..82249490,+	POLR2A-human	3
HS_chr10_83624701_83624769	chr10:83624201..83625269,.	TCGA-A8-A09X	NRG3	67170	chr10:83634596..83635597,+	POLR2A-human	2
HS_chr10_83627801_83627881	chr10:83627301..83628381,.	TCGA-B6-A0IJ	NRG3	67170	chr10:83634596..83635597,+	POLR2A-human	2
HS_chr10_89484647_89484696	chr10:89484147..89485196,.	TCGA-A8-A09I	PAPSS2	60602	chr10:89419238..89420239,+	POLR2A-human	2
HS_chr10_91470179_91470236	chr10:91469679..91470736,.	TCGA-AO-A0J2	KIF20B	60616	chr10:91464551..91465552,+	POLR2A-human	3
HS_chr10_91470179_91470236	chr10:91469679..91470736,.	TCGA-AO-A0J2	KIF20B_ENST00000416354	101828	chr10:91464551..91465552,+	POLR2A-human	3
HS_chr10_95162474_95162539	chr10:95161974..95163039,.	TCGA-E2-A152	MYOF	74710	chr10:95241450..95242451,-	POLR2A-human	3
HS_chr10_95162474_95162539	chr10:95161974..95163039,.	TCGA-E2-A152	MYOF_ENST00000371488	101394	chr10:95241450..95242451,-	POLR2A-human	3
